순번,제목,주체,기간,접수 가능 여부
1,2024 삼성증권 대학생 숏폼 공모전,삼성증권,24.03.15~24.06.03,접수중
2,2024 에프앤가이드 금융 데이터 혁신 창업경진대회,에프앤가이드,24.03.11~24.05.17,접수중
3,2024 대한민국 공군 창업 경진대회,공군본부,24.03.04~24.04.22,접수중
4,2024 대한민국 해병창업경진대회,대한민국 해병대,24.03.04~24.04.11,접수중
5,홍이장군 어린이 댄스대회,정관장,24.03.18~24.04.15,접수중
6,나만의 슬기로운 통신생활 공유하기 SNS 콘텐츠 공모전,한국통신사업자연합회,24.03.01~24.03.23,접수중
7,2024 군위 사랑과 나눔 문화축전 사랑나눔 어린이 그림그리기 대회,(주)매일신문사,24.03.19~24.04.19,접수중
8,2024 군위 사랑과 나눔 문화축전 사랑나눔 사진공모전,(주)매일신문사,24.03.19~24.04.19,접수중
9,제 1회 서울조각상 공모,서울시,24.04.11~24.04.17,접수예정
10,제1회 대구광역시 동구 공공디자인 공모전,대구광역시 동구,24.05.01~24.05.31,접수예정
11,2024 광양시 캐릭터 매돌이 인스타툰 공모전,광양시,24.03.25~24.03.31,접수예정
12,항공우주기술 기반 예비창업자 지원 사업 2024 STAR-Exploration,한국항공우주연구원,24.03.20~24.04.12,접수중
13,2024 성남청년 창업역량강화 프로젝트 THE와플 2기 모집,성남시청소년재단,24.03.06~24.05.05,접수중
14,신촌박스퀘어 블루메쯔 취·창업자 모집,서대문구청,24.03.22~24.03.22,오늘마감
15,창원아트그라운드 사진공모전 (창원국가산단50주년),클라스문,24.03.11~24.03.25,접수중
